,names,menu,loc,review_num,avg_score
0,업소명,주요메뉴,위치,최근 한달간 블로그 리뷰 개수,0.0
1,피자마루,피자,서울특별시 동작구 양녕로 190 (상도동),2건,0.94
101,대방회집,생선회,서울특별시 동작구 여의대방로 134-1 (대방동),0건,0.9285714285714286
115,리얼 후라이 숭실대점,"치킨,닭강정",서울특별시 동작구 사당로 6-1 (상도동),0건,0.9259259259259259
142,장가네장어탕,"장어,먹장어요리",서울특별시 동작구 동작대로21길 16 (사당동),0건,0.9166666666666666
154,에머이 보라매점,베트남음식,"서울특별시 동작구 보라매로5가길 16 (신대방동,보라매아카데미타워 2층 201호)",0건,0.8041237113402062
251,미쳐버린파닭,"치킨,닭강정",서울특별시 동작구 사당로 56 (상도동),0건,0.8636363636363636
273,만복국수,국수,서울특별시 동작구 사당로 305 (사당동),1건,0.9761904761904762
315,홍두께손칼국수,"칼국수,만두",서울특별시 동작구 동작대로29길 24 (사당동),0건,1.0
322,행복한손칼국수,"칼국수,만두",,17건,1.0
330,대방성,중식당,서울특별시 동작구 여의대방로54길 5 (대방동),0건,0.7647058823529411
381,남서울식당,종합분식,서울특별시 동작구 상도로15길 39 (상도동),1건,0.9322033898305084
440,쏘맥의달인,"맥주,호프","서울특별시 동작구 동작대로27길 16-6 (사당동,(2층))",0건,0.8333333333333334
458,뻐꾸기,바(BAR),"서울특별시 동작구 노량진로 147 (노량진동,(지하1층))",14건,1.0
464,벙커,"맥주,호프",서울특별시 동작구 상도로 368 (상도동),114건,1.0
470,이수회관,생선회,"서울특별시 동작구 동작대로27가길 40 (사당동,(1층,2층))",86건,0.8727272727272727
570,참숯풍천장어구이,"장어,먹장어요리",서울특별시 동작구 대림로 36 (신대방동),0건,0.9310344827586207
599,채울,"맥주,호프",서울특별시 동작구 등용로 107 (대방동),382건,1.0
603,파파디파스타,"스파게티,파스타전문","서울특별시 동작구 사당로 169 (사당동,(1층 102호))",0건,0.8928571428571429
659,피자마루(대림점),피자,"서울특별시 동작구 시흥대로 658 (신대방동,제2동 제105호)",0건,0.925
699,맛있는뎅,"오뎅,꼬치","서울특별시 동작구 동작대로7길 21 (사당동,(1층))",4건,0.8933333333333333
774,커피자리,"카페,디저트","서울특별시 동작구 노량진로 162 (노량진동,1층 8-4호)",806건,0.9333333333333333
789,신전떡볶이(중앙대점),분식,"서울특별시 동작구 흑석로 101-1 (흑석동,(2층))",0건,0.89
889,다채,샤브샤브,"서울특별시 동작구 알마타길 6 (대방동,지하1층 113호,114호)",6건,0.88
989,할머니칼국수,"칼국수,만두",서울특별시 동작구 상도로 179 (상도동),1건,0.9411764705882353
