id	document	label
1	친절하시고 깔끔하고 좋았습니다	1
2	조용하고 고기도 굿	1
3	갈비탕과 냉면, 육회비빔밥이 맛있습니다.	1
4	대체적으로 만족하나,와인의 구성이 살짝 아쉬움	1
5	고기도 맛있고 서비스는 더 최고입니다~	1
6	고기가 입에서 녹아요~! 서비스도 최고였습니다.	1
7	입에서 살살녹는 최상급소고기를 맛보고왔습니다.	1
8	고기도 구워주고 가성비 짱~~<	1
9	콜키지 프리라서 와인을 가지고 가면 좋은 식당!,생고기가 플레이팅도 아주 예쁘게 나오고 고기 질도 좋아 만족했네여,다만 가격이 후덜덜하여 자주는 못간다는 ㅎㅎ,회식때 자주 가고 싶은 곳 찜콩입니다 ㅋㅋ	1
10	저렴하면서도 맛이 아주 좋았습니다.,구워주시는 서버분들의 정성이 고기 한점 한점에 깃들여져, 최고의 저녁식사를 대접받은 기분입니다.,밑반찬 역시 소박하게 필요한것만 몇 가지로 구성되어 있고, 무엇보다 고기의 풍미를 배가시키는 역할을 해 주었습니다.,심연한우, 이러심연 곤란해여~!	1
11	맛있어요 양이 적지만 한우니까요 ㅋㅋ,한우초밥도 맛있었습니다	1
12	분위기도 괜찮고 고기 퀄리티도 좋고 전반적으로 만족했어요. 아쉬운건 반찬 종류가 적었어요~	1
13	고기가 너무너무 맛있었습니다,한우와 놀고온 기분이랄까? ㅎㅎ,맛난 한우김치찌게 정말 최고입니다,자주 찾아뵙겠습니다	1
14	고기를 주문하면 소를 잡으러간건지 올 생각도 안하고,식당은 작아서 번잡스럽기만하고,서비스도 별로고 비싼맛큼 서비스도 별로, 그래도 고기맛은 나쁘지 않으니 뭐;; 근데 재방문의사를 물어본다면 재방문의사 없음이요	0
15	오랜만에 생각나서 들려본 육덕등심! 간만에 가니 이모님도 반겨주시고 와인한병 서비스 받았네요...ㅋㅋㅋㅋ 올때마다 잘챙겨주셔서 정겨운느낌안고 옵니다. 오늘식사도 역시 맛있었구요. 역시 올때마다 만족하고 가는것같습니다. 또올게요~^^	1
16	맛있는 고기와 와인 마리아쥬 좋았습니다 뭉태기 못먹은게 아쉽네요	1
17	많이좋았습니다	0
18	여긴 무조건 세트를 구입해야 하는게 있는데 그게 매우 악수인듯... 돈을 벌고자 하는 전략이 매우 노골적임. 맛은 나쁘진 않으나, 돈 많이 쓸 생각하고 와야 할듯..	0
19	안심이 진짜 부드러워요	1
20	메뉴판좀 보고 주문하려는데,,자꾸 안심등심 세트를 팔려는 강매 전략.,메뉴판좀 보구 말씀드릴께요를 5번은 말한듯.,뭐하시는거죠?	0
21	맛은 있는데 직원들 서비스가 별로네요	0
22	가격대비 양이 많지는 않지만 맛은 있습니다	1
23	독특하고 레트로한 맛집. 스웨 풍만...의자마저 맘에 들어요.	1
24	너무맛있었네요..특히 그 노른자 화채ㅠㅠ	1
25	값 싸고 즐겁게	1
26	고기도 괜찮고 반찬도 맛있었어요 집이랑 가까우면 단골할거같아요^^	1
27	삼겹살도 맛있는데 파채 양념이 넘 맛있어서,자꾸생각나는 맛이에요,청국장도 넘 맛있음!!	1
28	맛있습니다!	1
29	맛도 맛이지만 분위기도 너무 좋았어요!,다음에 또 방문할 예정입니댜~	1
30	너무맛있어요...,냉동삼겹살 집에서 어렸을때 먹었던 기억나서 좋구,맛도 훌륭해용!!,,들어가는 순간부터 냄새가 확...ㅋㅋㅋ,직원분들도 친절하시고 삼겹살도 너무 맛잇고 ㅎㅎ,,담주에도 바로 예약 추가했어요	1
31	뼈없는 국물 닭발과 치즈계란말이. 주먹밥의 조화~ 맛집이라 그런지 여성 그룹들이 많았음. 맵긴 했지만 보통으로 주문하면 먹을만함~ 네이버에서 예약했다고 하니 우린 예약안받는다고 해주시는 센스. 어차피 빈자리가 있어 그냥 앉긴 했는데 예약하고 갔는데 자리없다고 하면 좀 짜증날듯.	1
32	친구소개로 갔는데..깜놀이네요,이런 육즙이 터지는 고기맛은 처음이네요.,인생삼겹인정!!,자주갈께요 서비스 많이주세요.	1
33	분위기도좋고 고기도맛있어요.,직원들도 친절합니다.	1
34	블로그보고 예약해서 갔어요..,대부분 블로그는 광고가 많은데 여기 목살은 블로그에 나온것처럼 진짜 맛이있네요...감칠맛이랄까...ㅋㅋ,첨으로 먹어본 목살맛이었어요.,.,후회없는 선택이었습니다^^,강추!!!!	1
